timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754508798282,65,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,24,0,0
1754508798347,59,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,18,0,0
1754508798406,61,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,19,0,0
1754508798467,61,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,21,0,0
1754508798528,63,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,22,0,0
1754508798591,62,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,21,0,0
1754508798653,61,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,20,0,0
1754508798714,61,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,19,0,0
1754508798775,109,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,67,0,0
1754508798884,60,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,19,0,0
1754508798944,18,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,18,0,0
1754508798962,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508799018,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508799074,75,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,34,0,0
1754508799149,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508799205,59,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508799264,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508799320,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508799376,60,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,18,0,0
1754508799436,21,HTTP Request,200,,Thread Group 1-1,text,true,,21535,128,1,1,http://localhost:8080/user/get-all,21,0,0
1754508799457,59,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508799516,57,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508799573,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508799628,57,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508799685,57,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508799742,57,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508799799,64,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,22,0,0
1754508799863,108,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,69,0,0
1754508799971,74,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,33,0,0
1754508800045,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
